id,published_at,name,url,alternate_url,professional_roles,salary.from,salary.to,salary.currency,salary.gross,address.lat,address.lng,address.raw,address.metro.station_name,address.metro.line_name,employer.name,employer.accredited_it_employer,schedule.name,experience.name,department.name,job_type,intern,junior,middle,senior,lead,net_salary_from_rur,net_salary_to_rur,salary_info,date_published
88351238,2023-10-18T15:09:56+0300,Data Scientist,https://api.hh.ru/vacancies/88351238?host=hh.ru,https://hh.ru/vacancy/88351238,"[{'id': '10', 'name': 'Аналитик'}]",,,,,,,,,,СБЕР,False,Полный день,От 1 года до 3 лет,Сбер для экспертов,DS,0,1,1,0,0,,,0,2023-10-18
79950324,2023-10-15T22:04:20+0300,Data scientist,https://api.hh.ru/vacancies/79950324?host=hh.ru,https://hh.ru/vacancy/79950324,"[{'id': '96', 'name': 'Программист, разработчик'}]",,,,,,,,,,СБЕР,False,Полный день,От 3 до 6 лет,Сбер. IT,DS,0,0,1,1,0,,,0,2023-10-15
88077838,2023-10-27T09:41:22+0300,"ML Engineer for Speech Processing (TTS, VAD, SpeakerRecognition)",https://api.hh.ru/vacancies/88077838?host=hh.ru,https://hh.ru/vacancy/88077838,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,,,,,,KVINT,False,Удаленная работа,Нет опыта,,MLE,1,0,0,0,0,,,0,2023-10-27
88354640,2023-10-18T15:50:38+0300,Middle Data Scientist / Data Analyst (Специалист по анализу данных),https://api.hh.ru/vacancies/88354640?host=hh.ru,https://hh.ru/vacancy/88354640,"[{'id': '96', 'name': 'Программист, разработчик'}]",,,,,,,,Каланчёвская,МЦД - 2,Пиклема,True,Удаленная работа,От 3 до 6 лет,,MLE or DS,0,0,1,0,0,,,0,2023-10-18
87783145,2023-10-05T13:52:38+0300,ML-инженер,https://api.hh.ru/vacancies/87783145?host=hh.ru,https://hh.ru/vacancy/87783145,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,55.75052,37.539401,"Москва, 1-й Красногвардейский проезд, 15",Выставочная,Филевская,Литрес,True,Полный день,От 3 до 6 лет,,MLE,0,0,1,1,0,,,0,2023-10-05
88502898,2023-10-26T11:58:10+0300,Machine Learning Engineer,https://api.hh.ru/vacancies/88502898?host=hh.ru,https://hh.ru/vacancy/88502898,"[{'id': '96', 'name': 'Программист, разработчик'}]",,,,,55.78606,37.638871,"Москва, Банный переулок, 9",Проспект Мира,Калужско-Рижская,НПО ПКРВ,False,Полный день,От 3 до 6 лет,,MLE,0,0,1,1,0,,,0,2023-10-26
88644066,2023-10-25T15:18:33+0300,Middle Data Scientist Sber AI (NLP),https://api.hh.ru/vacancies/88644066?host=hh.ru,https://hh.ru/vacancy/88644066,"[{'id': '10', 'name': 'Аналитик'}]",,,,,,,,,,СБЕР,False,Полный день,От 1 года до 3 лет,Сбер для экспертов,MLE or DS,0,0,1,0,0,,,0,2023-10-25
86018279,2023-10-02T12:20:44+0300,Middle \ Senior Data Scientist в команду моделирования розничного бизнеса,https://api.hh.ru/vacancies/86018279?host=hh.ru,https://hh.ru/vacancy/86018279,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,,,,,,Банк ВТБ (ПАО),False,Полный день,От 1 года до 3 лет,"ПАО ВТБ, Технологический блок",MLE or DS,0,0,1,1,0,,,0,2023-10-02
88680978,2023-10-26T12:47:37+0300,Middle/Senior Data Scientist (команда Поиска),https://api.hh.ru/vacancies/88680978?host=hh.ru,https://hh.ru/vacancy/88680978,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,,,,,,СберМаркет,True,Полный день,От 3 до 6 лет,,MLE or DS,0,0,1,1,0,,,0,2023-10-26
88467921,2023-10-20T16:53:44+0300,Senior MLOps Engineer,https://api.hh.ru/vacancies/88467921?host=hh.ru,https://hh.ru/vacancy/88467921,"[{'id': '96', 'name': 'Программист, разработчик'}]",,,,,,,,,,ГК «ХайТэк»,False,Полный день,От 3 до 6 лет,,MLE,0,0,0,1,0,,,0,2023-10-20
